iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
186,0.0,0.041679076850414276,1099832040,45.834999999999994,35.6,52.400000000000006,1223280760.0
187,0.0,0.06185982748866081,1106324660,45.834999999999994,35.6,52.400000000000006,1223280760.0
188,0.0,0.052034664899110794,1112817280,45.834999999999994,35.6,52.400000000000006,1223280760.0
189,0.0,0.07016368955373764,1119309900,45.834999999999994,35.6,52.400000000000006,1223280760.0
190,0.0,0.048350926488637924,1125713580,45.834999999999994,35.6,52.400000000000006,1223280760.0
191,0.0,0.06297661364078522,1132117260,45.834999999999994,35.6,52.400000000000006,1223280760.0
192,0.0,0.057777535170316696,1138520940,45.834999999999994,35.6,52.400000000000006,1223280760.0
193,0.0,0.03461745008826256,1144924620,45.834999999999994,35.6,52.400000000000006,1223280760.0
194,0.0,0.04072079807519913,1151328300,45.834999999999994,35.6,52.400000000000006,1223280760.0
195,0.0,0.026297379285097122,1157376220,45.834999999999994,35.6,52.400000000000006,1223280760.0
196,0.0,0.02621382474899292,1163424140,45.834999999999994,35.6,52.400000000000006,1223280760.0
197,0.0,0.03817794844508171,1169472060,45.834999999999994,35.6,52.400000000000006,1223280760.0
198,0.0,0.04783525690436363,1175519980,45.834999999999994,35.6,52.400000000000006,1223280760.0
199,0.0,0.06329647451639175,1181567900,45.834999999999994,35.6,52.400000000000006,1223280760.0
200,0.0,0.06282199919223785,1187349000,45.834999999999994,35.6,52.400000000000006,1223280760.0
201,0.0,0.09228481352329254,1193130100,45.834999999999994,35.6,52.400000000000006,1223280760.0
202,0.0,0.056556958705186844,1198911200,45.834999999999994,35.6,52.400000000000006,1223280760.0
203,0.0,0.045666541904211044,1204692300,45.834999999999994,35.6,52.400000000000006,1223280760.0
204,0.0,0.039463020861148834,1210473400,45.834999999999994,35.6,52.400000000000006,1223280760.0
205,0.0,0.03349022939801216,1216877080,45.834999999999994,35.6,52.400000000000006,1223280760.0
206,0.0,0.04640650749206543,1223280760,51.764999999999986,29.2,64.5,1363005500.0
